49109	Armour and Evasion	8% increased Evasion Rating and Armour;	
17566	Armour and Evasion	8% increased Evasion Rating and Armour;	
45171	Armour and Evasion	8% increased Evasion Rating and Armour;	
60598	Armour and Evasion	8% increased Evasion Rating and Armour;	
61940	Armour and Evasion	8% increased Evasion Rating and Armour;	
21435	Cloth and Chain	24% increased Evasion Rating and Armour;Ignore all Movement Penalties from Armour;	
14914	Phase Acrobatics	30% Chance to Dodge Spell Damage;	
4502	Intelligence	+10 to Intelligence;	
54415	Strength	+10 to Strength;	
59146	Attack Speed	3% increased Attack Speed;	
30955	Attack Speed	3% increased Attack Speed;	
56450	Attack Speed	3% increased Attack Speed;	
61308	Amplify	12% increased Radius of Area Skills;8% increased Area Damage;	
48827	Reduced Mana Cost	5% reduced Mana Cost of Skills;	
34906	Reduced Mana Cost	3% reduced Mana Cost of Skills;	
41026	Reduced Mana Cost	3% reduced Mana Cost of Skills;	
40206	Reduced Mana Cost	3% reduced Mana Cost of Skills;	
61318	Reduced Mana Cost	5% reduced Mana Cost of Skills;	
59717	Mana Mastery		
37078	Path of the Savant	16% increased Spell Damage;+20 to maximum Mana;+20 to Intelligence;	
40907	Unwavering Stance	Cannot Evade enemy Attacks;Cannot be Stunned;	
7444	Intelligence	+10 to Intelligence;	
23881	Strength	+10 to Strength;	
9511	Strength	+10 to Strength;	
54447	WITCH		
57264	Spell Damage	16% increased Spell Damage;	
22315	Mana Regeneration	40% increased Mana Regeneration Rate;	
19777	Chill Duration	15% increased Chill Duration on enemies;	
48249	Chill Duration	22% increased Chill Duration on enemies;	
23147	Chill Duration	15% increased Chill Duration on enemies;	
11730	Endurance	+1 Maximum Endurance Charge;	
58968	Chaos Damage	7% increased Chaos Damage;	
37663	Chaos Damage	7% increased Chaos Damage;	
1427	Chaos Resistance	+7% to Chaos Resistance;	
51235	Chaos Resistance	+7% to Chaos Resistance;	
35296	Chaos Resistance and Chaos Damage	5% increased Chaos Damage;+3% to Chaos Resistance;	
18707	Method to the Madness	22% increased Chaos Damage;	
5197	Life	8% increased maximum Life;	
61471	Life	8% increased maximum Life;	
1203	Life	8% increased maximum Life;	
48778	Intelligence	+10 to Intelligence;	
31875	Strength	+10 to Strength;	
28658	Bow Critical Strike Chance	20% increased Critical Strike Chance with Bows;	
14804	Bow Critical Strike Chance	20% increased Critical Strike Chance with Bows;	
41119	Lethality	80% increased Critical Strike Chance with Bows;	
18135	Celestial Walker	+12% to all Elemental Resistances;12% increased Elemental Damage;	
23038	Fell the Weak	20% increased Physical Damage with Axes;20% increased Accuracy Rating with Axes;10% increased Armour;	
63061	Axe Damage and Accuracy	10% increased Physical Damage with Axes;8% increased Accuracy Rating with Axes;	
28376	Axe Damage and Armour	10% increased Physical Damage with Axes;10% increased Armour;	
20018	Axe Damage	12% increased Physical Damage with Axes;	
6113	Axe Damage and Armour	10% increased Physical Damage with Axes;10% increased Armour;	
59565	Axe Mastery		
58813	Axe Damage and Accuracy	10% increased Physical Damage with Axes;8% increased Accuracy Rating with Axes;	
63976	Shaper	40% increased Mana Regeneration Rate;1% of Life Regenerated per Second;	
625	Life Regeneration	1% of Life Regenerated per Second;	
33592	Intelligence	+10 to Intelligence;	
16775	Strength	+10 to Strength;	
46910	Strength	+10 to Strength;	
60948	Two Handed Damage	10% increased Physical Damage with Two Handed Melee Weapons;	
39975	Reckless Abandon	12% increased Physical Damage with Two Handed Melee Weapons;4% increased Attack Speed with Two Handed Melee Weapons;	
41117	Two Handed Stun Duration	15% increased Stun Duration with Two Handed Melee Weapons on enemies;	
42062	Two Hand Mastery		
50846	Inner Force	15% increased Effect of Buffs on You;	
3197	Buff Effect	3% increased Effect of Buffs on You;	
4223	Buff Effect	3% increased Effect of Buffs on You;	
53994	Axe Damage and Accuracy	6% increased Physical Damage with Axes;8% increased Accuracy Rating with Axes;	
38061	Axe Damage and Accuracy	6% increased Physical Damage with Axes;8% increased Accuracy Rating with Axes;	
26096	Hatchet Master	20% increased Physical Damage with Axes;5% increased Attack Speed with Axes;	
60259	Evasion and Energy Shield	10% increased Evasion Rating;10% increased maximum Energy Shield;	
39322	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
46839	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
4399	Nullification	10% increased Evasion Rating;10% increased maximum Energy Shield;10% increased Energy Shield Cooldown Recovery;+8% to all Elemental Resistances;	
54277	Energy Shield Delay	10% increased Energy Shield Cooldown Recovery;	
30090	Energy Shield Delay	10% increased Energy Shield Cooldown Recovery;	
27283	Dexterity	+10 to Dexterity;	
46657	Dexterity	+10 to Dexterity;	
17735	Intelligence	+10 to Intelligence;	
58831	Disemboweling	80% increased Critical Strike Chance with One Handed Melee Weapons;	
39023	One Handed Critical Strike Chance	30% increased Critical Strike Chance with One Handed Melee Weapons;	
37501	One Handed Critical Strike Chance	30% increased Critical Strike Chance with One Handed Melee Weapons;	
26471	Avoid Shock	20% chance to Avoid being Shocked;	
49792	Avoid Shock	20% chance to Avoid being Shocked;	
48833	Avoid Ignite	20% chance to Avoid being Ignited;	
55307	Avoid Ignite	20% chance to Avoid being Ignited;	
64241	Avoid Freeze	40% chance to Avoid being Frozen;	
5402	Avoid Chill	40% chance to Avoid being Chilled;	
40743	Crystal Skin	15% chance to Avoid Elemental Status Ailments;	
27262	Claw Damage and Critical Strike Chance	6% increased Physical Damage with Claws;30% increased Critical Strike Chance with Claws;	
26398	Claw Damage and Critical Strike Chance	6% increased Physical Damage with Claws;30% increased Critical Strike Chance with Claws;	
60790	Claw Damage and Attack Speed	6% increased Physical Damage with Claws;2% increased Attack Speed with Claws;	
61344	Claw Damage and Accuracy	6% increased Physical Damage with Claws;8% increased Accuracy Rating with Claws;	
54791	Eagle Talons	24% increased Physical Damage with Claws;	
5629	Claw Damage	12% increased Physical Damage with Claws;	
39979	Claw Mastery		
13361	Staff Damage and Accuracy	6% increased Physical Damage with Staves;8% increased Accuracy Rating with Staves;	
55714	Staff Damage and Accuracy	6% increased Physical Damage with Staves;8% increased Accuracy Rating with Staves;	
53557	Staff Damage	12% increased Physical Damage with Staves;	
49198	Staff Damage	12% increased Physical Damage with Staves;	
38790	Staff Mastery		
918	Attack Speed	3% increased Attack Speed;	
28221	Attack Speed	3% increased Attack Speed;	
24643	Attack Speed	3% increased Attack Speed;	
45456	Spell Damage	6% increased Spell Damage;	
56153	Spell Damage	6% increased Spell Damage;	
11688	Spell Damage	6% increased Spell Damage;	
8742	Critical Strike Multiplier	10% increased Critical Strike Multiplier;	
34062	Critical Strike Multiplier	10% increased Critical Strike Multiplier;	
13344	Critical Strike Multiplier	10% increased Critical Strike Multiplier;	
39028	Dexterity and Intelligence	+10 to Dexterity;+10 to Intelligence;	
12405	Reduced Mana Cost	5% reduced Mana Cost of Skills;	
39628	Reduced Mana Cost	5% reduced Mana Cost of Skills;	
57818	Arcane Efficiency	10% reduced Mana Cost of Skills;	
23047	Mana Mastery		
20010	Dexterity	+10 to Dexterity;	
46578	Strength	+10 to Strength;	
28330	Strength	+10 to Strength;	
11397	Frenzy Charge Duration	18% increased Frenzy Charge Duration;	
32024	Minion Life	Minions have 10% increased maximum Life;	
60554	Minion Damage	Minions deal 15% increased Damage;	
27611	Lord of the Dead	Minions have 10% increased maximum Life;Minions deal 15% increased Damage;+1 to Maximum number of Zombies;+2 to Maximum number of Skeletons;	
45360	Bow Damage	12% increased Physical Damage with Bows;	
34510	Bow Damage and Critical Strike Chance	6% increased Physical Damage with Bows;25% increased Critical Strike Chance with Bows;	
63830	Piercing Shots	35% chance of Arrows Piercing;	
30676	Bow Damage	12% increased Physical Damage with Bows;	
15211	Bow Mastery		
52849	Life	8% increased maximum Life;	
33755	Life	8% increased maximum Life;	
64587	Life	8% increased maximum Life;	
27670	Life	8% increased maximum Life;	
29019	Life Mastery		
50570	Strength	+10 to Strength;	
46277	Dexterity	+10 to Dexterity;	
44159	Mana Geyser	16% increased maximum Mana;40% increased Mana Regeneration Rate;+10 to Intelligence;	
57061	Mana	8% increased maximum Mana;	
22061	Mana	8% increased maximum Mana;	
48614	Fervor	+1 Maximum Frenzy Charge;	
16079	Evasion Per Frenzy Charge	4% increased Evasion Rating per Frenzy Charge;	
20807	Dexterity	+10 to Dexterity;	
63843	Dexterity	+10 to Dexterity;	
6875	Dexterity	+10 to Dexterity;	
36221	Life	12% increased maximum Life;	
23112	Life	12% increased maximum Life;	
9206	Life	8% increased maximum Life;	
43647	Life	8% increased maximum Life;	
43704	Life	8% increased maximum Life;	
61424	Life	8% increased maximum Life;	
52407	Lightning Damage	8% increased Lightning Damage;	
54645	Lightning Damage	8% increased Lightning Damage;	
62158	Lightning Damage	8% increased Lightning Damage;	
54396	Fire Damage	8% increased Fire Damage;	
31462	Fire Damage	8% increased Fire Damage;	
59242	Fire Damage	8% increased Fire Damage;	
12439	Cold Damage	8% increased Cold Damage;	
14730	Cold Damage	8% increased Cold Damage;	
4201	Cold Damage	8% increased Cold Damage;	
10575	Intelligence	+10 to Intelligence;	
58402	Intelligence	+10 to Intelligence;	
33435	Elementalist	12% increased Elemental Damage;+12 to Intelligence;	
9647	Totem Range	15% increased Totem Range;	
54293	Totem Life	16% increased Totem Life;	
23564	Totem Duration	25% increased Totem Duration;	
6288	Energy Shield Mastery		
62795	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
56090	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
49408	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
4219	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
11018	Evasion and Energy Shield	8% increased Evasion Rating;6% increased maximum Energy Shield;	
48698	Void Barrier	10% increased Evasion Rating;10% increased maximum Energy Shield;10% increased Energy Shield Cooldown Recovery;+8% to all Elemental Resistances;	
35283	Critical Strike Chance	15% increased Critical Strike Chance;	
10763	Critical Strike Chance	15% increased Critical Strike Chance;	
27199	Critical Strike Chance	15% increased Critical Strike Chance;	
34133	Critical Strike Chance	15% increased Critical Strike Chance;	
21432	Critical Strike Chance	15% increased Critical Strike Chance;	
62422	Crit Mastery		
46092	Intelligence	+10 to Intelligence;	
18033	Intelligence	+10 to Intelligence;	
14930	Strength	+10 to Strength;	
11605	Dagger Damage and Accuracy	6% increased Physical Damage with Daggers;8% increased Accuracy Rating with Daggers;	
59515	Dagger Damage and Accuracy	6% increased Physical Damage with Daggers;8% increased Accuracy Rating with Daggers;	
40342	Dagger Damage and Critical Strike Multiplier	6% increased Physical Damage with Daggers;10% increased Critical Strike Multiplier with Daggers;	
45636	Stabbing Comeback	18% increased Physical Damage with Daggers;+12 to maximum Life;	
6333	Dagger Damage and Life	12% increased Physical Damage with Daggers;6% increased maximum Life;	
11119	Dagger Damage and Life	12% increased Physical Damage with Daggers;6% increased maximum Life;	
41866	Dexterity	+10 to Dexterity;	
39718	Dexterity	+10 to Dexterity;	
54818	Dagger Mastery		
43133	Minion Attack and Cast Speed	Minions have 6% increased Attack Speed;Minions have 6% increased Cast Speed;	
27308	Gravepact	Minions deal 20% increased Damage;+1 to Maximum number of Zombies;+1 to Maximum number of Skeletons;	
54267	Minion Damage	Minions deal 15% increased Damage;	
23185	Minion Attack and Cast Speed	Minions have 6% increased Attack Speed;Minions have 6% increased Cast Speed;	
61991	Minion Mastery		
4972	Minion Life	Minions have 10% increased maximum Life;	
1609	Minion Life Leech	Minions Leech 3% of Damage as Life;	
23083	Totem Life	16% increased Totem Life;	
11431	Totem Duration	25% increased Totem Duration;	
49939	Totem Damage	8% increased Totem Damage;	
10771	Totem Placement Speed	14% increased Casting Speed for Summoning Totems;	
13174	Fire Resistance	+15% to Fire Resistance;	
37432	Lightning Resistance	+15% to Lightning Resistance;	
4571	Elemental Resistance	+6% to all Elemental Resistances;	
4011	Dexterity	+10 to Dexterity;	
60398	Intelligence	+10 to Intelligence;	
40330	Pure Brutality	80% increased Critical Strike Chance with Two Handed Melee Weapons;	
34872	Two Handed Critical Strike Chance	30% increased Critical Strike Chance with Two Handed Melee Weapons;	
5881	Two Handed Critical Strike Chance	30% increased Critical Strike Chance with Two Handed Melee Weapons;	
28503	Soul Raker	12% increased Physical Damage with Claws;4% of Physical Damage Dealt with Claws Leeched as Life;	
3213	Essence Raker	2% increased Attack Speed with Claws;4% of Physical Damage Dealt with Claws Leeched as Life;	
3401	Spirit Raker	+20 to maximum Energy Shield;4% of Physical Damage Dealt with Claws Leeched as Life;	
16469	Claw Damage and Attack Speed	6% increased Physical Damage with Claws;2% increased Attack Speed with Claws;	
17859	Claw Mastery		
43379	Two Handed Weapon Damage	10% increased Physical Damage with Two Handed Melee Weapons;	
56381	Two Handed Weapon Attack Speed	4% increased Attack Speed with Two Handed Melee Weapons;	
59310	One Handed Damage	10% increased Physical Damage with One Handed Melee Weapons;	
36980	One Handed Damage	10% increased Physical Damage with One Handed Melee Weapons;	
52443	One Handed Damage	10% increased Physical Damage with One Handed Melee Weapons;	
12313	One Handed Attack Speed	4% increased Attack Speed with One Handed Melee Weapons;	
14606	Butchery	20% increased Physical Damage with Two Handed Melee Weapons;+20 to Strength;	
8533	Two Handed Damage	10% increased Physical Damage with Two Handed Melee Weapons;	
11515	Two Handed Damage	10% increased Physical Damage with Two Handed Melee Weapons;	
35663	Strong Arm	20% increased Physical Damage with One Handed Melee Weapons;+20 to Strength;	
61327	Weapon Cold Damage	10% increased Cold Damage with Weapons;	
51404	Weapon Cold Damage	10% increased Cold Damage with Weapons;	
52283	Self Chill Duration	18% reduced Chill Duration on You;	
33147	Self Chill Duration	18% reduced Chill Duration on You;	
5972	Cold Damage	8% increased Cold Damage;	
8833	Heart of Ice	18% increased Cold Damage;5% increased maximum Life;5% increased maximum Energy Shield;	
36412	Cold Damage	8% increased Cold Damage;	
65159	Totem Damage	8% increased Totem Damage;	
31520	Totem Damage	8% increased Totem Damage;	
4300	Totem Damage	8% increased Totem Damage;	
11190	Totem Physical Damage Reduction	Totems have 6% additional Physical Damage Reduction;	
35910	Totem Elemental Resistances	Totems gain +10% to all Elemental Resistances;	
63635	Totemic Mastery	14% increased Totem Damage;12% increased Totem Life;	
